"table_id","row_id","label","kind","n","d","h","G","h_floor_3","h_ceil_3","source_line"
"admissible-classical","admissible-classical:r01","tab:admissible-classical","classical",3,1,"0.95636388101612373657668971285041050354`24.","17.62100476580762847313770364794413487243`24.","239/250","957/1000",2047
"admissible-classical","admissible-classical:r02","tab:admissible-classical","classical",4,1,"0.79881596662874806002577784089591924062`24.","24.41661556961814049222463038644611540647`24.","399/500","799/1000",2048
"admissible-classical","admissible-classical:r03","tab:admissible-classical","classical",5,1,"0.66469789009103076487647801953239978434`24.","27.75703857728020190316586188822401874299`24.","83/125","133/200",2049
"admissible-classical","admissible-classical:r04","tab:admissible-classical","classical",6,1,"0.54769150112333532562198052337746858296`24.","26.73969075545878443975076726816329665381`24.","547/1000","137/250",2050
"admissible-classical","admissible-classical:r05","tab:admissible-classical","classical",7,1,"0.44380119584837413042282704167464999653`24.","22.34512934559570687550735935612258783223`24.","443/1000","111/250",2051
"admissible-classical","admissible-classical:r06","tab:admissible-classical","classical",8,1,"0.35031134697332315131525051082634203974`24.","16.4856577524705875106987261729684614583`24.","7/20","351/1000",2052
"admissible-classical","admissible-classical:r07","tab:admissible-classical","classical",9,1,"0.26528336603351561113816909887839877345`24.","10.88679181427261155670642380735980535661`24.","53/200","133/500",2053
"admissible-classical","admissible-classical:r08","tab:admissible-classical","classical",10,1,"0.18728149324865612667493337422958205038`24.","6.50658624586800234561254789456409120673`24.","187/1000","47/250",2054
"admissible-classical","admissible-classical:r09","tab:admissible-classical","classical",11,1,"0.11521105526575204200644781723139360621`24.","3.55132796406436138775025584126526216399`24.","23/200","29/250",2055
"admissible-classical","admissible-classical:r10","tab:admissible-classical","classical",12,1,"0.04821745746921892940459351085052475802`24.","1.78355665166167604232201387453900224868`24.","6/125","49/1000",2056
"admissible-classical","admissible-classical:r11","tab:admissible-classical","classical",3,2,"1.09704496599516784580989011064582301752`24.","26.87334486104431522896196652830841243809`24.","1097/1000","549/500",2059
"admissible-classical","admissible-classical:r12","tab:admissible-classical","classical",4,2,"0.70228465769514349719643008554356993108`24.","16.59561710664898737839884248321768733745`24.","351/500","703/1000",2060
"admissible-classical","admissible-classical:r13","tab:admissible-classical","classical",5,2,"0.37622495024580944791579581235004995236`24.","6.56088007169993470996924748432120960194`24.","47/125","377/1000",2061
"admissible-classical","admissible-classical:r14","tab:admissible-classical","classical",6,2,"0.09809687868693505337511608559193536764`24.","1.80143086140619885788763361597115237393`24.","49/500","99/1000",2062
